Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
225,2021/8/12 18:8:1.347597,0.01,0.02,0.13,0.41,0.31,10.93,-68.0,11.234346674461515
226,2021/8/12 18:8:1.401796,-0.04,0.03,0.03,0.44,-0.19,10.92,-69.0,11.810343945529494
227,2021/8/12 18:8:1.466876,-0.05,0.03,0.01,0.38,-0.13,10.96,-69.0,11.810343945529494
228,2021/8/12 18:8:1.525199,-0.03,0.03,0.02,0.38,-0.0,10.93,-69.0,11.810343945529494
229,2021/8/12 18:8:1.580534,-0.03,0.03,0.02,0.35,-0.01,10.93,-69.0,11.810343945529494
230,2021/8/12 18:8:1.639987,-0.04,0.03,0.01,0.36,-0.04,10.93,-69.0,11.810343945529494
231,2021/8/12 18:8:1.702177,-0.04,0.03,0.01,0.35,-0.08,10.95,-69.0,11.810343945529494
232,2021/8/12 18:8:1.759539,-0.04,0.03,0.01,0.36,-0.07,10.95,-69.0,11.810343945529494
233,2021/8/12 18:8:1.822180,-0.04,0.03,0.01,0.36,-0.05,10.94,-69.0,11.810343945529494
234,2021/8/12 18:8:1.881555,-0.04,0.03,0.01,0.35,-0.04,10.95,-69.0,11.810343945529494
235,2021/8/12 18:8:1.946840,-0.04,0.03,0.01,0.36,-0.04,10.95,-69.0,11.810343945529494
236,2021/8/12 18:8:2.8798,-0.04,0.03,0.01,0.35,-0.05,10.94,-69.0,11.810343945529494
237,2021/8/12 18:8:2.67652,-0.04,0.03,0.01,0.34,-0.05,10.93,-69.0,11.810343945529494
238,2021/8/12 18:8:2.125212,-0.04,0.03,0.01,0.34,-0.06,10.94,-70.0,12.415873228194727
239,2021/8/12 18:8:2.186223,-0.04,0.03,0.01,0.35,-0.05,10.95,-70.0,12.415873228194727
240,2021/8/12 18:8:2.241762,-0.04,0.03,0.01,0.35,-0.05,10.94,-70.0,12.415873228194727
241,2021/8/12 18:8:2.305289,-0.04,0.03,0.01,0.35,-0.05,10.94,-70.0,12.415873228194727
242,2021/8/12 18:8:2.367538,-0.04,0.03,0.01,0.34,-0.05,10.95,-70.0,12.415873228194727
