Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
918,53:06.4,-0.13,0.06,0.04,0.76,-3.85,10.23,-61,7.916710297
919,53:06.5,0.06,-0.03,-0.09,0.59,-2.38,10.56,-60,7.53060778
920,53:06.5,-0.05,0.01,0.03,0.51,-1.64,10.86,-60,7.53060778
921,53:06.6,-0.05,0.01,-0.01,0.44,-1.51,10.79,-60,7.53060778
922,53:06.7,0.03,0.02,0.01,0.51,-0.49,10.68,-60,7.53060778
923,53:06.7,-0.02,0.04,0,0.48,0.08,10.86,-60,7.53060778
924,53:06.8,-0.04,0.03,0.01,0.51,-0.1,10.92,-60,7.53060778
925,53:06.8,-0.04,0.03,0.01,0.55,-0.15,10.89,-60,7.53060778
926,53:06.9,-0.04,0.03,0.01,0.54,-0.19,10.92,-60,7.53060778
927,53:07.0,-0.04,0.03,0.01,0.54,-0.19,10.91,-60,7.53060778
928,53:07.2,-0.04,0.03,0.01,0.55,-0.18,10.91,-60,7.53060778
929,53:07.9,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
930,53:07.1,-0.04,0.03,0.01,0.55,-0.17,10.9,-60,7.53060778
931,53:07.2,-0.04,0.03,0.01,0.54,-0.18,10.92,-60,7.53060778
932,53:07.3,-0.04,0.03,0.01,0.54,-0.18,10.91,-60,7.53060778
933,53:07.3,-0.04,0.03,0.01,0.54,-0.18,10.89,-60,7.53060778
934,53:07.4,-0.04,0.03,0.02,0.54,-0.17,10.91,-60,7.53060778
935,53:07.5,-0.04,0.03,0.01,0.53,-0.17,10.91,-60,7.53060778
936,53:07.5,-0.04,0.03,0.01,0.54,-0.19,10.91,-60,7.53060778
937,53:07.6,-0.04,0.03,0.01,0.54,-0.17,10.91,-60,7.53060778
938,53:07.6,-0.04,0.03,0.01,0.53,-0.17,10.91,-60,7.53060778
939,53:07.7,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
940,53:07.8,-0.04,0.03,0.01,0.54,-0.19,10.89,-60,7.53060778
941,53:07.8,-0.04,0.03,0.01,0.54,-0.18,10.89,-60,7.53060778
942,53:07.9,-0.04,0.03,0.01,0.54,-0.17,10.89,-60,7.53060778
943,53:07.9,-0.04,0.03,0.01,0.54,-0.18,10.89,-60,7.53060778
944,53:08.7,-0.04,0.03,0.01,0.54,-0.18,10.91,-60,7.53060778
945,53:08.7,-0.04,0.03,0.01,0.54,-0.17,10.91,-60,7.53060778
946,53:08.1,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
947,53:08.2,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
948,53:08.2,-0.04,0.03,0.01,0.54,-0.17,10.89,-60,7.53060778
949,53:08.3,-0.04,0.03,0.01,0.54,-0.18,10.89,-60,7.53060778
