Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
275,1627718394,0.21,0.37,0.1,-7.45,-0.09,7.59,-48
276,1627718395,-0.1,-0.27,0.06,-9.35,0.92,6.19,-49
277,1627718396,-0.06,-0.07,-0.03,-8.37,1.37,5.78,-49
278,1627718397,-0.07,-0.03,0.06,-7.98,1.19,6.5,-50
279,1627718398,-0.19,0.05,-0.36,-7.85,0.19,6.99,-49
280,1627718399,-0.06,-0.15,-0.01,-5.22,-1.16,9.56,-52
281,1627718399,0.02,-0.34,0.12,-0.34,-0.92,10.4,-49
282,1627718400,0.06,-0.09,0,0.55,0.11,10.9,-55
283,1627718401,-0.04,0.03,0.01,0.55,0.11,10.9,-46
284,1627718402,-0.04,0.03,0.01,0.54,0.11,10.91,-46
285,1627718403,-0.04,0.03,0.01,0.55,0.11,10.9,-46
286,1627718404,-0.04,0.03,0.01,0.55,0.1,10.9,-46
287,1627718404,-0.04,0.04,0.01,0.53,0.1,10.92,-46
288,1627718405,-0.04,0.03,0.01,0.54,0.1,10.92,-49
289,1627718406,-0.04,0.03,0.01,0.54,0.1,10.91,-47
290,1627718407,-0.04,0.04,0.01,0.54,0.1,10.89,-47
291,1627718408,-0.04,0.04,0.01,0.55,0.1,10.9,-47
292,1627718409,-0.04,0.03,0.01,0.53,0.11,10.92,-47
293,1627718410,-0.04,0.03,0.01,0.55,0.11,10.91,-47
294,1627718410,-0.04,0.04,0.01,0.54,0.1,10.92,-47
295,1627718411,-0.04,0.04,0.01,0.53,0.09,10.9,-47
296,1627718412,-0.04,0.03,0.01,0.54,0.1,10.91,-47
297,1627718413,-0.04,0.03,0.01,0.54,0.1,10.91,-47
298,1627718414,-0.04,0.03,0.01,0.54,0.1,10.91,-47
299,1627718414,-0.04,0.04,0.01,0.53,0.1,10.93,-47
300,1627718415,-0.04,0.04,0.01,0.53,0.11,10.91,-46
301,1627718416,-0.04,0.04,0.01,0.53,0.11,10.91,-48
